,0
130,Get Over It (1996)
131,Line King
132,Snowriders (1996)
133,When We Were Kings (1996)
134,Wrong Trousers
135,JLG/JLG - autoportrait de décembre (1994)
136,Return of Martin Guerre
137,Faust (1994)
138,He Walked by Night (1948)
139,Raw Deal (1948)
140,T-Men (1947)
141,Anne Frank Remembered (1995)
142,Six of a Kind (1934)
143,Tin Drum
144,Ruling Class
145,Mina Tannenbaum (1994)
146,Two or Three Things I Know About Her (1966)
147,Bloody Child
148,Young Poisoner's Handbook
149,Dear God (1996)
150,Bad Moon (1996)
151,American Dream (1990)
152,Best of the Best 3
153,Bob Roberts (1992)
154,Cinema Paradiso (1988)
155,Cook the Thief His Wife & Her Lover
156,Grosse Fatigue (1994)
157,Delicatessen (1991)
158,If Lucy Fell (1996)
159,Double Life of Veronique
160,Enchanted April (1991)
161,Paths of Glory (1957)
162,Grifters
163,Hear My Song (1991)
164,Shooter
165,English Patient
166,Mediterraneo (1991)
167,My Left Foot (1989)
168,Sex
169,Steal Big
170,Passion Fish (1992)
171,Strictly Ballroom (1992)
172,Thin Blue Line
173,Tie Me Up! Tie Me Down! (1990)
174,Madonna
175,Paris Is Burning (1990)
176,One Flew Over the Cuckoo's Nest (1975)
177,Up in Smoke (1978)
178,Star Wars
179,Princess Bride
180,Race the Sun (1996)
181,Raiders of the Lost Ark (1981)
182,Brazil (1985)
183,Aliens (1986)
184,Good
185,Withnail and I (1987)
186,12 Angry Men (1957)
187,Lawrence of Arabia (1962)
188,Transformers
189,Clockwork Orange
190,To Kill a Mockingbird (1962)
191,Boys of St. Vincent
192,Apocalypse Now (1979)
193,Once Upon a Time in the West (1969)
194,Star Wars
195,Wings of Desire (Der Himmel über Berlin) (1987)
196,Third Man
197,GoodFellas (1990)
198,Alien (1979)
199,Army of Darkness (1993)
200,Big Blue
201,Ran (1985)
202,Balto (1995)
203,Boomerang (1992)
204,Killer
205,Psycho (1960)
206,Blues Brothers
207,Godfather
208,Full Metal Jacket (1987)
209,Grand Day Out
210,Henry V (1989)
211,Amadeus (1984)
212,Quiet Man
213,Once Upon a Time in America (1984)
214,Chungking Express (1994)
215,Raging Bull (1980)
216,Annie Hall (1977)
217,Right Stuff
218,Stalker (1979)
219,Boat
220,Sting
221,Harold and Maude (1971)
222,Trust (1990)
223,Seventh Seal
224,Local Hero (1983)
225,Star Maker
226,Terminator
227,Braindead (1992)
228,Glory (1989)
229,Rosencrantz and Guildenstern Are Dead (1990)
230,Manhattan (1979)
231,Miller's Crossing (1990)
232,Dead Poets Society (1989)
233,Graduate
234,Touch of Evil (1958)
235,Nikita (La Femme Nikita) (1990)
236,Flirting With Disaster (1996)
237,Bridge on the River Kwai
238,8 1/2 (1963)
239,Chinatown (1974)
240,Day the Earth Stood Still
241,Treasure of the Sierra Madre
242,Bad Taste (1987)
243,Duck Soup (1933)
244,Better Off Dead... (1985)
245,Shining
246,Stand by Me (1986)
247,NeverEnding Story III
248,M (1931)
249,Evil Dead II (Dead By Dawn) (1987)
250,Great Escape
251,Deer Hunter
252,Diva (1981)
253,Groundhog Day (1993)
254,Unforgiven (1992)
255,Manchurian Candidate
256,Pump Up the Volume (1990)
257,Arsenic and Old Lace (1944)
258,Silence of the Palace
259,Back to the Future (1985)
260,Fried Green Tomatoes (1991)
261,Patton (1970)
262,Down by Law (1986)
263,Akira (1988)
264,Highlander (1986)
265,Cool Hand Luke (1967)
266,Cyrano de Bergerac (1990)
267,Young Frankenstein (1974)
268,Night on Earth (1991)
269,Jupiter's Wife (1994)
270,Raise the Red Lantern (1991)
271,Great Dictator
272,Fantasia (1940)
273,High Noon (1952)
274,Big Sleep
275,Heathers (1989)
276,Somewhere in Time (1980)
277,Ben-Hur (1959)
278,This Is Spinal Tap (1984)
279,Koyaanisqatsi (1983)
280,Pie in the Sky (1995)
281,Some Kind of Wonderful (1987)
282,Indiana Jones and the Last Crusade (1989)
283,Being There (1979)
284,Gandhi (1982)
285,M*A*S*H (1970)
286,Unbearable Lightness of Being
287,Room with a View
288,Real Genius (1985)
289,Pink Floyd - The Wall (1982)
290,Killing Fields
291,Angela (1995)
292,My Life as a Dog (Mitt liv som hund) (1985)
293,Forbidden Planet (1956)
294,Field of Dreams (1989)
295,Man Who Would Be King
296,Butch Cassidy and the Sundance Kid (1969)
297,Paris
298,Until the End of the World (Bis ans Ende der Welt) (1991)
299,When Harry Met Sally... (1989)
300,Frankie Starlight (1995)
301,Hype! (1996)
302,Santa with Muscles (1996)
303,Female Perversions (1996)
304,Mad Dog Time (1996)
305,Paris Was a Woman (1995)
306,Anna (1996)
307,I'm Not Rappaport (1996)
308,Nixon (1995)
309,Jade (1995)
310,Alien³ (1992)
311,American Werewolf in London
312,Amityville 1992
313,Amityville 3-D (1983)
314,Amityville
315,Amityville
316,Amityville II
317,Amityville Horror
318,Amityville Curse
319,Blood For Dracula (Andy Warhol's Dracula) (1974)
320,Nueba Yol (1995)
321,April Fool's Day (1986)
322,Audrey Rose (1977)
323,Believers
324,Birds
325,Blob
326,Blood Beach (1981)
327,Body Parts (1991)
328,Body Snatcher
329,Bram Stoker's Dracula (1992)
330,Bride of Frankenstein (1935)
331,Sonic Outlaws (1995)
332,Burnt Offerings (1976)
333,Candyman (1992)
334,Cape Fear (1991)
335,Cape Fear (1962)
336,Carrie (1976)
337,Cat People (1982)
338,Nightmare on Elm Street
339,Nosferatu (Nosferatu
340,Nosferatu a Venezia (1986)
341,Omen
342,Down Periscope (1996)
343,Blood & Wine (1997)
344,Albino Alligator (1996)
345,Mirror Has Two Faces
346,Breaking the Waves (1996)
347,Nightwatch (1997)
348,Star Trek
349,Shine (1996)
350,Sling Blade (1996)
351,Jingle All the Way (1996)
352,Identification of a Woman (Identificazione di una donna) (1982)
353,From the Journals of Jean Seberg (1995)
354,Paradise Lost
355,Garden of Finzi-Contini
356,Preacher's Wife
357,Zero Kelvin (Kjærlighetens kjøtere) (1995)
358,Ridicule (1996)
359,Crucible
360,101 Dalmatians (1996)
361,I Can't Sleep (J'ai pas sommeil) (1994)
362,Die Hard 2 (1990)
363,Man of the Year (1995)
364,Star Trek
365,Star Trek VI
366,Star Trek V
367,Star Trek
368,Star Trek III
369,Star Trek IV
370,Batman Returns (1992)
371,Young Guns (1988)
372,Young Guns II (1990)
373,Grease (1978)
374,Neon Bible
375,Grease 2 (1982)
376,Marked for Death (1990)
377,Adrenalin
378,Substance of Fire
379,Under Siege (1992)
380,Terror in a Texas Town (1958)
381,Jaws (1975)
382,Jaws 2 (1978)
383,Jaws 3-D (1983)
384,My Fellow Americans (1996)
385,Target (1995)
386,Mars Attacks! (1996)
387,Citizen Ruth (1996)
388,Jerry Maguire (1996)
389,Raising Arizona (1987)
390,Tin Men (1987)
391,Sneakers (1992)
392,Bastard Out of Carolina (1996)
393,In Love and War (1996)
394,Marvin's Room (1996)
395,Up Close and Personal (1996)
396,Ghosts of Mississippi (1996)
397,Night Falls on Manhattan (1997)
398,Beavis and Butt-head Do America (1996)
399,Cérémonie
400,Scream (1996)
401,Last of the Mohicans
402,Michael (1996)
403,Evening Star
404,Hamlet (1996)
405,Some Mother's Son (1996)
406,Birdcage
407,Whole Wide World
408,Mother (1996)
409,Thieves (Voleurs
410,Evita (1996)
411,Portrait of a Lady
412,Walkabout (1971)
413,Message to Love
414,Grateful Dead (1995)
415,Murder at 1600 (1997)
416,Hearts and Minds (1996)
417,Cutthroat Island (1995)
418,Shadows (Cienie) (1988)
419,Fierce Creatures (1997)
420,Zeus and Roxanne (1997)
421,Turbulence (1997)
422,Angel Baby (1995)
423,Jackie Chan's First Strike (1996)
424,Underworld (1997)
425,Beverly Hills Ninja (1997)
426,Metro (1997)
427,Machine
428,Stranger
429,Falling in Love Again (1980)
430,Cement Garden
431,Dante's Peak (1997)
432,Meet Wally Sparks (1997)
433,Amos & Andrew (1993)
434,Benny & Joon (1993)
435,Prefontaine (1997)
436,Guantanamera (1994)
437,Brothers McMullen
438,McHale's Navy (1997)
439,Kolya (1996)
440,Gridlock'd (1997)
441,Waiting for Guffman (1996)
442,Prisoner of the Mountains (Kavkazsky Plennik) (1996)
443,Beautician and the Beast
444,SubUrbia (1997)
445,Hotel de Love (1996)
446,Pest
447,Bad Boys (1995)
448,Fools Rush In (1997)
449,Touch (1997)
450,Absolute Power (1997)
451,That Darn Cat! (1997)
452,Vegas Vacation (1997)
453,That Old Feeling (1997)
454,Lost Highway (1997)
455,Rosewood (1997)
456,Donnie Brasco (1997)
457,Amazing Panda Adventure
458,Booty Call (1997)
459,Rhyme & Reason (1997)
460,Boys Life 2 (1997)
461,City of Industry (1997)
462,Best Men (1997)
463,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)
464,Kama Sutra
465,Private Parts (1997)
466,Love Jones (1997)
467,Basketball Diaries
468,Saint
469,Smilla's Sense of Snow (1997)
470,Van
471,Crash (1996)
472,Daytrippers
473,Liar Liar (1997)
474,Quiet Room
475,Selena (1997)
476,Devil's Own
477,Cats Don't Dance (1997)
478,Awfully Big Adventure
479,B*A*P*S (1997)
480,Love and Other Catastrophes (1996)
481,Sixth Man
482,Turbo
483,Anna Karenina (1997)
484,Double Team (1997)
485,Inventing the Abbotts (1997)
486,Anaconda (1997)
487,Grosse Pointe Blank (1997)
488,Keys to Tulsa (1997)
489,Amateur (1994)
490,Kissed (1996)
491,8 Heads in a Duffel Bag (1997)
492,Hollow Reed (1996)
493,Paradise Road (1997)
494,Traveller (1997)
495,All Over Me (1997)
496,Brother's Kiss
497,A Chef in Love (1996)
498,Romy and Michele's High School Reunion (1997)
499,Temptress Moon (Feng Yue) (1996)
500,Apollo 13 (1995)
501,Volcano (1997)
502,Children of the Revolution (1996)
503,Austin Powers
504,Breakdown (1997)
505,Broken English (1996)
506,Commandments (1997)
507,Ripe (1996)
508,Truth or Consequences
509,Warriors of Virtue (1997)
510,Rob Roy (1995)
511,Fathers' Day (1997)
512,Fifth Element
513,Intimate Relations (1996)
514,Nowhere (1997)
515,Losing Chase (1996)
516,Sprung (1997)
517,Promise
518,Bonheur
519,Love! Valour! Compassion! (1997)
520,Shall We Dance? (Shall We Dansu?) (1996)
521,Casino (1995)
522,Addiction
523,Second Jungle Book
524,Twin Town (1997)
525,Addicted to Love (1997)
526,Brassed Off (1996)
527,Designated Mourner
528,Lost World
529,Ponette (1996)
530,Schizopolis (1996)
531,Shiloh (1997)
532,War at Home
533,Batman Forever (1995)
534,Rough Magic (1995)
535,Trial and Error (1997)
536,Buddy (1997)
537,Con Air (1997)
538,Late Bloomers (1996)
539,Pillow Book
540,To Have
541,Speed 2
542,Sudden Manhattan (1996)
543,Belle de jour (1967)
544,Wedding Bell Blues (1996)
545,Batman & Robin (1997)
546,Dream With the Fishes (1997)
547,Roseanna's Grave (For Roseanna) (1997)
548,Head Above Water (1996)
549,Hercules (1997)
550,Last Time I Committed Suicide
551,My Best Friend's Wedding (1997)
552,Beyond Rangoon (1995)
553,Tetsuo II
554,When the Cats Away (Chacun cherche son chat) (1996)
555,Contempt (Le Mépris) (1963)
556,Face/Off (1997)
557,Fall (1997)
558,Gabbeh (1996)
559,For Ever Mozart (1996)
560,Men in Black (1997)
561,Blue in the Face (1995)
562,Out to Sea (1997)
563,Wild America (1997)
564,Simple Wish
565,Contact (1997)
566,Love Serenade (1996)
567,G.I. Jane (1997)
568,Conan the Barbarian (1982)
569,George of the Jungle (1997)
570,Cop Land (1997)
571,Event Horizon (1997)
572,Canadian Bacon (1994)
573,Spawn (1997)
574,Air Bud (1997)
575,Picture Perfect (1997)
576,In the Company of Men (1997)
577,Free Willy 3
578,Career Girls (1997)
579,Conspiracy Theory (1997)
580,Desperate Measures (1998)
581,Steel (1997)
582,She's So Lovely (1997)
583,Casper (1995)
584,Hoodlum (1997)
585,Leave It to Beaver (1997)
586,Mimic (1997)
587,Money Talks (1997)
588,Excess Baggage (1997)
589,Kull the Conqueror (1997)
590,Air Force One (1997)
591,187 (1997)
592,Hunt for Red October
593,My Own Private Idaho (1991)
594,Clockers (1995)
595,Kiss Me
596,Star Maps (1997)
597,In & Out (1997)
598,Edge
599,Peacemaker
600,L.A. Confidential (1997)
601,Seven Years in Tibet (1997)
602,Kiss the Girls (1997)
603,Soul Food (1997)
604,Kicked in the Head (1997)
605,Congo (1995)
606,Wishmaster (1997)
607,Thousand Acres
608,Game
609,Fire Down Below (1997)
610,U Turn (1997)
611,MatchMaker
612,Lay of the Land
613,Assignment
614,Smile Like Yours
615,Crimson Tide (1995)
616,Ulee's Gold (1997)
617,Ice Storm
618,Stag (1997)
619,Chasing Amy (1997)
620,How to Be a Player (1997)
621,Full Monty
622,Indian Summer (a.k.a. Alive & Kicking) (1996)
623,Mrs. Brown (Her Majesty
624,I Know What You Did Last Summer (1997)
625,Devil's Advocate
626,Sense and Sensibility (1995)
627,Crumb (1994)
628,Rocket Man (1997)
629,Playing God (1997)
630,House of Yes
631,Fast
632,Washington Square (1997)
633,Telling Lies in America (1997)
634,Year of the Horse (1997)
635,Gattaca (1997)
636,FairyTale
637,Phantoms (1998)
638,Desperado (1995)
639,Swept from the Sea (1997)
640,Wonderland (1997)
641,Life Less Ordinary
642,Hurricane Streets (1998)
643,Eve's Bayou (1997)
644,Switchback (1997)
645,Gang Related (1997)
646,Stripes (1981)
647,Nénette et Boni (1996)
648,Bean (1997)
649,Devil in a Blue Dress (1995)
650,Hugo Pool (1997)
651,Mad City (1997)
652,One Night Stand (1997)
653,Tango Lesson
654,Welcome To Sarajevo (1997)
655,Deceiver (1997)
656,Rainmaker
657,Boogie Nights (1997)
658,Witness (1985)
659,Incognito (1997)
660,Die Hard
661,Starship Troopers (1997)
662,Critical Care (1997)
663,Joy Luck Club
664,Chairman of the Board (1998)
665,Sliding Doors (1998)
666,Mortal Kombat
667,Truman Show
668,Wings of the Dove
669,Mrs. Dalloway (1997)
670,I Love You
671,Doom Generation
672,Red Corner (1997)
673,Jackal
674,Anastasia (1997)
675,Man Who Knew Too Little
676,Alien
677,Alien Escape (1995)
678,Amistad (1997)
679,Apostle
680,Artemisia (1997)
681,Bent (1997)
682,Feast of July (1995)
683,Butcher Boy
684,Deconstructing Harry (1997)
685,Flubber (1997)
686,For Richer or Poorer (1997)
687,Good Will Hunting (1997)
688,Home Alone 3 (1997)
689,First Knight (1995)
690,Legal Deceit (1997)
691,Midnight in the Garden of Good and Evil (1997)
692,Mouse Hunt (1997)
693,Never Met Picasso (1996)
694,Office Killer (1997)
695,Scream 2 (1997)
696,Stranger in the House (1997)
697,Free Willy 2
698,Sweet Hereafter
699,Time Tracers (1995)
700,Titanic (1997)
701,Tomorrow Never Dies (1997)
702,Full Speed (1996)
703,Education of Little Tree
704,Postman
705,Horse Whisperer
706,Winter Guest
707,Hackers (1995)
708,Jackie Brown (1997)
709,Kundun (1997)
710,Mr. Magoo (1997)
711,Big Lebowski
712,Afterglow (1997)
713,My Life in Pink (Ma vie en rose) (1997)
714,Great Expectations (1998)
715,3 Ninjas
716,Jeffrey (1995)
717,Midaq Alley (Callejón de los milagros
718,Arguing the World (1996)
719,Firestorm (1998)
720,Senseless (1998)
721,Wag the Dog (1997)
722,Dark City (1998)
723,Leading Man
724,Star Kid (1997)
725,Hard Rain (1998)
726,Four Rooms (1995)
727,Johnny Mnemonic (1995)
728,Half Baked (1998)
729,Fallen (1998)
730,Shooting Fish (1997)
731,Prophecy II
732,Dangerous Beauty (1998)
733,Four Days in September (1997)
734,Spice World (1997)
735,Deep Rising (1998)
736,Tainted (1998)
737,Judge Dredd (1995)
738,Music From Another Room (1998)
739,Replacement Killers
740,B. Monkey (1998)
741,Night Flier (1997)
742,Blues Brothers 2000 (1998)
743,Tokyo Fist (1995)
744,Jury Duty (1995)
745,Wedding Singer
746,Sphere (1998)
747,Ayn Rand
748,Little City (1998)
749,Palmetto (1998)
750,As Good As It Gets (1997)
751,King of New York (1990)
752,Paralyzing Fear
753,Men With Guns (1997)
754,Kids (1995)
755,Twilight (1998)
756,U.S. Marshalls (1998)
757,Welcome to Woop-Woop (1997)
758,Love and Death on Long Island (1997)
759,Callejón de los milagros
760,In God's Hands (1998)
761,Everest (1998)
762,Hush (1998)
763,Suicide Kings (1997)
764,Living in Oblivion (1995)
765,Man in the Iron Mask
766,Newton Boys
767,Wild Things (1998)
768,Paulie (1998)
769,Cool Dry Place
770,Hana-bi (1997)
771,Primary Colors (1998)
772,Niagara
773,Wide Awake (1998)
774,Price Above Rubies
775,Lord of Illusions (1995)
776,Eden (1997)
777,Two Girls and a Guy (1997)
778,No Looking Back (1998)
779,Proposition
780,Object of My Affection
781,Meet the Deedles (1998)
782,Homegrown (1998)
783,Player's Club
784,Barney's Great Adventure (1998)
785,Love & Human Remains (1993)
786,Big One
787,Chinese Box (1997)
788,Follow the Bitch (1998)
789,Lost in Space (1998)
790,Heaven's Burning (1997)
791,Mercury Rising (1998)
792,Spanish Prisoner
793,City of Angels (1998)
794,Last Days of Disco
795,Odd Couple II
796,Mad Love (1995)
797,My Giant (1998)
798,He Got Game (1998)
799,Gingerbread Man
800,Illtown (1996)
801,Slappy and the Stinkers (1998)
802,Live Flesh (1997)
803,Zero Effect (1998)
804,Nil By Mouth (1997)
805,Borrowers
806,Mallrats (1995)
807,Prince Valiant (1997)
808,I Love You
809,Leather Jacket Love Story (1997)
810,Love Walked In (1998)
811,Alan Smithee Film
812,Kissing a Fool (1998)
813,Krippendorf's Tribe (1998)
814,Kurt & Courtney (1998)
815,Real Blonde
816,Mr. Nice Guy (1997)
817,Mighty Morphin Power Rangers
818,Taste of Cherry (1997)
819,Character (Karakter) (1997)
820,Junk Mail (1997)
821,Species II (1998)
822,Major League
823,Sour Grapes (1998)
824,Wild Man Blues (1998)
825,Big Hit
826,Tarzan and the Lost City (1998)
827,Truce
828,Ace Ventura
829,Moonlight and Valentino (1995)
830,Black Dog (1998)
831,Dancer
832,Friend of the Deceased
833,Go Now (1995)
834,Misérables
835,Still Breathing (1997)
836,Clockwatchers (1997)
837,Deep Impact (1998)
838,Little Men (1998)
839,Woo (1998)
840,Mute Witness (1994)
841,Hanging Garden
842,Lawn Dogs (1997)
843,Quest for Camelot (1998)
844,Godzilla (1998)
845,Bulworth (1998)
846,Fear and Loathing in Las Vegas (1998)
847,Opposite of Sex
848,I Got the Hook Up (1998)
849,Almost Heroes (1998)
850,Hope Floats (1998)
851,Nadja (1994)
852,Insomnia (1997)
853,Little Boy Blue (1997)
854,Ugly
855,Perfect Murder
856,Beyond Silence (1996)
857,Six Days Seven Nights (1998)
858,Can't Hardly Wait (1998)
859,Cousin Bette (1998)
860,High Art (1998)
861,Land Girls
862,Net
863,Passion in the Desert (1998)
864,Children of Heaven
865,Dear Jesse (1997)
866,Dream for an Insomniac (1996)
867,Hav Plenty (1997)
868,Henry Fool (1997)
869,Marie Baie Des Anges (1997)
870,Mr. Jealousy (1997)
871,Mulan (1998)
872,Resurrection Man (1998)
873,Nine Months (1995)
874,X-Files
875,I Went Down (1997)
876,Doctor Dolittle (1998)
877,Out of Sight (1998)
878,Picnic at Hanging Rock (1975)
879,Smoke Signals (1998)
880,Voyage to the Beginning of the World (1997)
881,Buffalo 66 (1998)
882,Armageddon (1998)
883,Lethal Weapon 4 (1998)
884,Party Girl (1995)
885,Madeline (1998)
886,Small Soldiers (1998)
887,Pi (1998)
888,Whatever (1998)
889,There's Something About Mary (1998)
890,Plan 9 from Outer Space (1958)
891,Wings (1927)
892,Broadway Melody
893,All Quiet on the Western Front (1930)
894,Cimarron (1931)
895,Prophecy
896,Grand Hotel (1932)
897,Cavalcade (1933)
898,Mutiny on the Bounty (1935)
899,Great Ziegfeld
900,Life of Émile Zola
901,You Can't Take It With You (1938)
902,How Green Was My Valley (1941)
903,Mrs. Miniver (1942)
904,Going My Way (1944)
905,Lost Weekend
906,Reckless (1995)
907,Best Years of Our Lives
908,Gentleman's Agreement (1947)
909,Hamlet (1948)
910,All the King's Men (1949)
911,Greatest Show on Earth
912,From Here to Eternity (1953)
913,On the Waterfront (1954)
914,Marty (1955)
915,West Side Story (1961)
916,Tom Jones (1963)
917,Safe (1995)
918,Man for All Seasons
919,In the Heat of the Night (1967)
920,Oliver! (1968)
921,Midnight Cowboy (1969)
922,French Connection
923,Rocky (1976)
924,Kramer Vs. Kramer (1979)
925,Ordinary People (1980)
926,Chariots of Fire (1981)
927,Terms of Endearment (1983)
928,Scarlet Letter
929,Out of Africa (1985)
930,Last Emperor
931,Rain Man (1988)
932,Driving Miss Daisy (1989)
933,Take the Money and Run (1969)
934,Klute (1971)
935,Repo Man (1984)
936,Metropolitan (1990)
937,Labyrinth (1986)
938,Breakfast Club
939,Money Train (1995)
940,Show
941,Nightmare on Elm Street Part 2
942,Nightmare on Elm Street 3
943,Nightmare on Elm Street 4
944,Nightmare on Elm Street 5
945,Freddy's Dead
946,Friday the 13th (1980)
947,Friday the 13th Part 2 (1981)
948,Friday the 13th Part 3
949,Friday the 13th
950,Friday the 13th Part V
951,Showgirls (1995)
952,Friday the 13th Part VI
953,Friday the 13th Part VII
954,Friday the 13th Part VIII
955,Halloween (1978)
956,Halloween II (1981)
957,Halloween III
958,Halloween 4
959,Halloween 5
960,Prom Night (1980)
961,Hello Mary Lou
962,Smoke (1995)
963,Prom Night III
964,Prom Night IV
965,Child's Play (1988)
966,Child's Play 2 (1990)
967,Child's Play 3 (1992)
968,Poltergeist (1982)
969,Poltergeist II
970,Poltergeist III (1988)
971,Exorcist
972,Exorcist II
973,Something to Talk About (1995)
974,Exorcist III
975,Lethal Weapon (1987)
976,Lethal Weapon 2 (1989)
977,Lethal Weapon 3 (1992)
978,Gremlins (1984)
979,Gremlins 2
980,Goonies
981,Mask of Zorro
982,Polish Wedding (1998)
983,This World
984,Species (1995)
985,Soylent Green (1973)
986,Metropolis (1926)
987,Back to the Future Part II (1989)
988,Back to the Future Part III (1990)
989,Poseidon Adventure
990,Freaky Friday (1977)
991,Absent Minded Professor
992,Apple Dumpling Gang Rides Again
993,Babes in Toyland (1961)
994,Bambi (1942)
995,Stars Fell on Henrietta
996,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
997,Dangerous Liaisons (1988)
998,Dune (1984)
999,Last Temptation of Christ
1000,Godfather
1001,Rapture
1002,Lolita (1997)
1003,Disturbing Behavior (1998)
1004,Mafia! (1998)
1005,Saving Private Ryan (1998)
1006,Strange Days (1995)
1007,Billy's Hollywood Screen Kiss (1997)
1008,$1
1009,Barefoot Executive
1010,Black Cauldron
1011,Black Hole
1012,Blackbeard's Ghost (1968)
1013,Blank Check (1994)
1014,Candleshoe (1977)
1015,Cat from Outer Space
1016,Umbrellas of Cherbourg
1017,Cheetah (1989)
1018,Computer Wore Tennis Shoes
1019,Condorman (1981)
1020,D2
1021,Darby O'Gill and the Little People (1959)
1022,Devil and Max Devlin
1023,Far Off Place
1024,Flight of the Navigator (1986)
1025,Gnome-Mobile
1026,Great Mouse Detective
1027,Tie That Binds
1028,Happiest Millionaire
1029,Herbie Goes Bananas (1980)
1030,Herbie Goes to Monte Carlo (1977)
1031,Hocus Pocus (1993)
1032,Honey
1033,Honey
1034,Hot Lead and Cold Feet (1978)
1035,In Search of the Castaways (1962)
1036,Incredible Journey
1037,Negotiator
1038,Three Wishes (1995)
1039,Parent Trap
1040,BASEketball (1998)
1041,Full Tilt Boogie (1997)
1042,Governess
1043,Seventh Heaven (Le Septième ciel) (1997)
1044,Roger & Me (1989)
1045,Purple Rose of Cairo
1046,Out of the Past (1947)
1047,Doctor Zhivago (1965)
1048,Fanny and Alexander (1982)
1049,Grumpier Old Men (1995)
1050,Get Shorty (1995)
1051,Total Eclipse (1995)
1052,Trip to Bountiful
1053,Tender Mercies (1983)
1054,And the Band Played On (1993)
1055,'burbs
1056,Fandango (1985)
1057,Night Porter
1058,Mephisto (1981)
1059,Blue Velvet (1986)
1060,Journey of Natty Gann
1061,Jungle Book
1062,To Wong Foo
1063,Kidnapped (1960)
1064,Lady and the Tramp (1955)
1065,Little Mermaid
1066,Mighty Ducks
1067,Muppet Christmas Carol
1068,Newsies (1992)
1069,101 Dalmatians (1961)
1070,One Magic Christmas (1985)
1071,Peter Pan (1953)
1072,Popeye (1980)
1073,Under Siege 2
1074,Rescuers Down Under
1075,Rescuers
1076,Return from Witch Mountain (1978)
1077,Return of Jafar
1078,Return to Oz (1985)
